 12/09-11:42:39.039   	Copelabs6	f6:0e:22:a8:8b:a5	-1.0
 12/09-11:43:39.039   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-11:44:39.039   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-11:45:39.039   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-11:46:39.039   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-11:47:39.039   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-11:48:41.041   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-14:24:04.004   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-14:25:04.004   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-14:26:04.004   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-14:27:05.005   	Copelabs4	7a:4b:87:e3:44:04	12.791742962933734
 12/09-14:28:05.005   	Copelabs4	7a:4b:87:e3:44:04	12.791742962933734
 12/09-14:29:05.005   	Copelabs4	7a:4b:87:e3:44:04	12.791742962933734
 12/09-14:30:06.006   	Copelabs4	7a:4b:87:e3:44:04	12.791742962933734
 12/09-14:31:06.006   	Copelabs4	7a:4b:87:e3:44:04	12.791742962933734
 12/09-14:32:06.006   	Copelabs4	7a:4b:87:e3:44:04	12.791742962933734
 12/09-14:33:06.006   	Copelabs4	7a:4b:87:e3:44:04	14.679162127564368
 12/09-14:34:06.006   	Copelabs4	7a:4b:87:e3:44:04	12.957808115247648
 12/09-14:35:07.007   	Copelabs4	7a:4b:87:e3:44:04	22.347221980447195
 12/09-14:36:07.007   	Copelabs4	7a:4b:87:e3:44:04	19.716436629721855
 12/09-14:37:07.007   	Copelabs4	7a:4b:87:e3:44:04	19.716436629721855
 12/09-14:38:09.009   	Copelabs4	7a:4b:87:e3:44:04	19.716436629721855
 12/09-14:39:09.009   	Copelabs4	7a:4b:87:e3:44:04	19.716436629721855
 12/09-14:40:12.012   	Copelabs4	7a:4b:87:e3:44:04	19.716436629721855
 12/09-14:41:13.013   	Copelabs4	7a:4b:87:e3:44:04	19.716436629721855
 12/09-14:42:13.013   	Copelabs4	7a:4b:87:e3:44:04	18.83397832763724
 12/09-14:43:13.013   	Copelabs4	7a:4b:87:e3:44:04	21.946021062941483
 12/09-14:44:13.013   	Copelabs4	7a:4b:87:e3:44:04	21.802614642293776
 12/09-14:45:13.013   	Copelabs4	7a:4b:87:e3:44:04	17.23187962408529
 12/09-14:46:14.014   	Copelabs4	7a:4b:87:e3:44:04	17.23187962408529
 12/09-14:47:14.014   	Copelabs4	7a:4b:87:e3:44:04	17.23187962408529
 12/09-14:48:14.014   	Copelabs4	7a:4b:87:e3:44:04	17.23187962408529
 12/09-14:49:14.014   	Copelabs4	7a:4b:87:e3:44:04	17.23187962408529
 12/09-14:50:14.014   	Copelabs4	7a:4b:87:e3:44:04	17.23187962408529
 12/09-14:51:15.015   	Copelabs4	7a:4b:87:e3:44:04	17.23187962408529
 12/09-14:52:15.015   	Copelabs4	7a:4b:87:e3:44:04	17.072827649691465
 12/09-14:53:15.015   	Copelabs4	7a:4b:87:e3:44:04	17.072827649691465
 12/09-14:54:15.015   	Copelabs4	7a:4b:87:e3:44:04	13.610141668452377
 12/09-14:55:16.016   	Copelabs4	7a:4b:87:e3:44:04	13.610141668452377
 12/09-14:56:16.016   	Copelabs4	7a:4b:87:e3:44:04	12.316395839780455
 12/09-14:57:16.016   	Copelabs4	7a:4b:87:e3:44:04	10.756282582505769
 12/09-14:58:18.018   	Copelabs4	7a:4b:87:e3:44:04	10.756282582505769
 12/09-14:59:19.019   	Copelabs4	7a:4b:87:e3:44:04	9.184396942946547
 12/09-15:00:19.019   	Copelabs4	7a:4b:87:e3:44:04	17.330872299569116
 12/09-15:01:19.019   	Copelabs4	7a:4b:87:e3:44:04	17.330872299569116
 12/09-15:02:19.019   	Copelabs4	7a:4b:87:e3:44:04	17.330872299569116
 12/09-15:03:19.019   	Copelabs4	7a:4b:87:e3:44:04	19.98627971282025
 12/09-15:04:20.020   	Copelabs4	7a:4b:87:e3:44:04	23.812001961493337
 12/09-15:05:20.020   	Copelabs4	7a:4b:87:e3:44:04	24.93283524325514
 12/09-15:06:20.020   	Copelabs4	7a:4b:87:e3:44:04	21.963817495757212
 12/09-15:07:20.020   	Copelabs4	7a:4b:87:e3:44:04	21.963817495757212
 12/09-15:08:23.023   	Copelabs4	7a:4b:87:e3:44:04	21.813292501983213
 12/09-15:09:25.025   	Copelabs4	7a:4b:87:e3:44:04	21.813292501983213
 12/09-15:10:25.025   	Copelabs4	7a:4b:87:e3:44:04	21.813292501983213
 12/09-15:11:25.025   	Copelabs4	7a:4b:87:e3:44:04	21.813292501983213
 12/09-15:12:25.025   	Copelabs4	7a:4b:87:e3:44:04	21.813292501983213
 12/09-15:13:25.025   	Copelabs4	7a:4b:87:e3:44:04	21.813292501983213
 12/09-15:18:27.027   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-15:19:27.027   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-15:20:27.027   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-15:21:27.027   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 12/09-15:22:27.027   	Copelabs4	7a:4b:87:e3:44:04	40.45104300630142
 12/09-15:23:28.028   	Copelabs4	7a:4b:87:e3:44:04	40.45104300630142
 12/09-15:24:28.028   	Copelabs4	7a:4b:87:e3:44:04	40.45104300630142
 12/09-15:25:28.028   	Copelabs4	7a:4b:87:e3:44:04	40.45104300630142
 12/09-15:26:30.030   	Copelabs4	7a:4b:87:e3:44:04	40.45104300630142
 12/09-15:27:30.030   	Copelabs4	7a:4b:87:e3:44:04	40.45104300630142
 12/09-15:28:30.030   	Copelabs4	7a:4b:87:e3:44:04	34.91625987013999
 12/09-15:29:30.030   	Copelabs4	7a:4b:87:e3:44:04	34.91625987013999
 12/09-15:30:31.031   	Copelabs4	7a:4b:87:e3:44:04	31.59538998844313
 12/09-15:31:31.031   	Copelabs4	7a:4b:87:e3:44:04	38.90520858400567
 12/09-15:32:31.031   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:33:31.031   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:34:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:35:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:36:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:37:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:38:32.032   	Copelabs4	7a:4b:87:e3:44:04	26.963801052818642
 12/09-15:39:33.033   	Copelabs4	7a:4b:87:e3:44:04	24.81328263622007
 12/09-15:40:33.033   	Copelabs4	7a:4b:87:e3:44:04	20.569224295496294
 12/09-15:41:33.033   	Copelabs4	7a:4b:87:e3:44:04	15.373449343621068
 12/09-15:42:33.033   	Copelabs4	7a:4b:87:e3:44:04	13.832310462076064
 12/09-15:43:34.034   	Copelabs4	7a:4b:87:e3:44:04	12.037272511173562
 12/09-15:44:34.034   	Copelabs4	7a:4b:87:e3:44:04	11.83060436260756
 12/09-15:45:34.034   	Copelabs4	7a:4b:87:e3:44:04	11.706603473467958
 12/09-15:46:34.034   	Copelabs4	7a:4b:87:e3:44:04	12.70521679784503
 12/09-15:47:34.034   	Copelabs4	7a:4b:87:e3:44:04	13.931233520160557
 12/09-15:48:35.035   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:49:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:50:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:51:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:52:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:53:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:54:38.038   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:55:38.038   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:56:38.038   	Copelabs4	7a:4b:87:e3:44:04	16.519321692246777
 12/09-15:57:38.038   	Copelabs4	7a:4b:87:e3:44:04	16.519321692246777
 12/09-15:58:38.038   	Copelabs4	7a:4b:87:e3:44:04	16.519321692246777
 12/09-15:59:39.039   	Copelabs4	7a:4b:87:e3:44:04	14.519833871251489
 12/09-16:00:39.039   	Copelabs4	7a:4b:87:e3:44:04	16.488825082610163
 12/09-16:01:39.039   	Copelabs4	7a:4b:87:e3:44:04	17.670219809425365
 12/09-16:02:41.041   	Copelabs4	7a:4b:87:e3:44:04	15.210372741558642
 12/09-16:03:41.041   	Copelabs4	7a:4b:87:e3:44:04	15.210372741558642
 12/09-16:04:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:05:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:06:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:07:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:08:43.043   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:09:43.043   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
